art,EW 5876 G,EW 4541 G,EW 4471 G,EW 5411 G,EW 4481 G,EW 5592 G,EW 4686 G,EW 4116G,EW 4340G,FWHM 5876 G,FWHM 4541 G,FWHM 4471 G,FWHM 5411 G,FWHM 4481 G,FWHM 5592 G,FWHM 4552 G,FWHM 4267 G,FWHM 4116G,FWHM 4340G,EW 5876,EW 4541,EW 4471,EW 5411,EW 4481,EW 5592,EW 4686,EW 4116,EW 4340,EW 5876 INT,EW 4541 INT,EW 4471 INT,EW 5411 INT,EW 4481 INT,EW 5592 INT,EW 4686 INT,EW 4340 INT
B,1135.54,0,861.36,0,219.97,0,43.91,0,2104.39,4.01,0,3.22,0,0.21,1.89,2.73,1.96,0,5.66,881.88,0,822.95,0,197.83,10.36,85.24,0,2319.31,889.59,0,787.44,0,198.9,0.48,49.06,2750.86
B,277.17,8.5,391.69,0,303.46,0,0,0,7567.84,0.67,0.18,1.16,0,0,0,0.42,0.4,0,11.43,324.84,2.42,455.17,0,284.26,0,0,0,7025.29,316.23,9.31,625.43,0,318.9,0,0,7435.47
B,128.46,0,279.42,0,188.65,0,0,0,8109.29,0.57,0.26,1.77,0,0,0,0.44,0.35,0,11.84,139.69,3.86,365.82,0,194.99,0,0,0,7485.94,140.4,15.41,433.42,0,272.25,0,0,7584.18
B,53.89,34.98,99.59,0,373.46,0,0,0,10293.46,0.63,0.43,0.81,0,0,0,0.54,0.43,0,12.89,47.87,52.67,101.66,0,361.51,0,0,0,9259.35,54.69,34.07,107.16,0,375.95,0,0,9215.84
B,379.93,0,557.83,0,299.51,0,0,0,5815.51,5.89,0,5.09,0,0,0,4.08,2.55,0,11.59,333.49,0,440,0,152.2,0,0,0,4944.15,267.25,0,417.23,0,233.53,0,0,4965.49
B,293.77,0,450.96,0,308.27,0,0,0,6317.75,1.22,0,1.76,0,0,0,0.93,0.78,0,9.55,308.41,0,481.63,0,305.9,0,0,0,6421.19,305.46,0,561.55,0,295.71,0,0,6761.36
B,951.82,79.92,1095.19,298.46,82.76,10.07,370.69,0,3476.89,8.38,3.54,6.37,6.87,0.71,4.89,3.25,0,0,9.94,685.2,11.53,668.93,191.99,69.55,8.39,193.4,0,2359.06,683.88,8.12,796.25,223.06,28.36,2,44.43,2674.5
B,471.95,0,688,0,262.6,0,0,0,5018.85,0.97,0,1.63,0,0,0,0.64,0.65,0,8.17,541.45,0,818.84,0,233.96,0,0,0,5182.27,522.33,0,952.14,0,269.62,0,0,5447.44
B,271.46,0,629.35,0,165.98,0,0,0,5867.06,1.85,0.13,3.28,0,0,0,0.53,0.39,0,9.56,276.29,2.42,665.03,0,144.43,0,0,0,5359.13,317.91,0,669.73,0,330.93,0,1.08,5899.23
B,435.58,0,781.92,0,338.14,0,0,0,6497.27,6.81,0,5.63,0,0,0,5.11,0.95,0,11.57,218.21,0,762.98,0,334.09,0,0,0,5725.37,300.96,0,686.95,0,266.5,0,0,5325.75
B,120.7,0,277.55,0,161.21,0,0,0,5801.98,1.05,0.31,2.11,0,0,0,0.86,0.67,13.43,9.23,55.63,0.97,349.91,0,144.4,0,0,1893.29,5723.29,109.56,16.53,360.88,0,159.6,0,0,6011.61
B,258.34,0,459.7,0,292.74,0,0,0,7075.52,2.12,0,2.68,0,0,0,1.65,1.22,0,10.76,269.11,0,460.55,0,261.99,0,0,0,6596.01,264.86,0,429.6,0,296.42,0,0,7243.02
B,554.23,0,898.03,0,224.87,0,0,0,4463.71,1.29,0,2.1,0,0,0,0.85,0.79,0,7.72,613.52,0,1025.03,0,233.65,0,0,0,4669.19,604.11,0,1094.8,0,240.94,0,0,4899.21
B,570.87,0,878.69,0,140.95,1.35,0,0,3354.69,0.96,0,1.87,0,0.09,0.51,0.41,0.45,0,6.72,664.23,0,974.28,0,140.08,17.32,1.76,0,3503.35,678.63,0,1074.17,0,139.76,0.48,4.75,3768.45
B,710.38,0,802.39,0,225.87,0,0,4.31,2736.45,1.6,0,1.86,0,0,0,1.25,0.89,0.19,5.36,746.34,0,862.39,0,186.89,0,0,13.17,3047.07,675.94,0,857.18,0,210.69,0,0.15,3437.96
B,194.3,0,378.85,0,390.81,0,0,0,7999.93,3.49,0,3.7,0,0,0,3.48,0.42,0,11.71,144.91,0,319.04,0,454.28,0,0,0,7230.1,133.29,0,337.3,0,329.55,0,0,7304.03
B,488.26,0,691.95,0,256.91,0,3.27,0,4667.71,1.01,0,1.6,0,0,0.22,0.65,0.66,0,7.73,545.8,0,806.19,0,269.16,0,16.98,0,4781.24,549.03,0,916.8,0,262.75,0,3.69,4957.26
B,406.98,0,725.14,0,278.43,0,0,0,6267.02,1.49,0,2.34,0,0,0,1.07,0.95,0,10.29,449.3,0,767.12,0,284.63,0,0,0,6048.92,436.29,0,822.51,0,291.48,0,1.04,6063.22
B,634.07,0,694.01,0,175.49,0,22.02,0,2267.77,1.17,0,1.41,0,0,0.71,0.71,0.64,0.31,4.44,688.76,0,756.29,0,194.41,0,27.28,9.66,2778.79,669.35,0,858.65,0,218.59,0,0,3444.04
B,345.72,3.52,488.04,0,292.62,0,0,0,6310.79,0.82,0.26,1.35,0,0,0,0.55,0.53,0,9.82,381.32,3.91,574.36,0,292.85,0,0,0,6080.22,362.85,0,701.11,0,305.94,0,0,6215.07
B,345.59,0,540.09,0,305.1,0,0.84,0,6046.17,2.44,0,2.69,0,0,0.07,1.99,1.52,3.3,9.26,380.08,0,598.62,0,254.73,0,3.29,406,6105.88,337.05,0,564.64,0,286.25,0,0,6120.05
B,574.41,0,796.8,0,117.32,0,138.37,70.56,3268.7,0.91,0,1.72,0,0.2,1.08,0.31,0.37,0.15,7.1,590.96,0,883.83,0,106.87,14.12,120.18,73.97,3490.2,584.34,0,972.74,16.66,114.16,9.29,151.31,3862.58
B,280.92,0,344.45,3.02,295.8,0,0,0,6740.69,0.58,0.13,0.88,0.19,0,0,0.35,0.37,0,10.13,325.61,15.12,409.02,18.95,291.95,0,0,0,6124.47,326.86,0,565.08,0,312.05,0,0,6648.63
B,395.5,0,583.43,0,249.15,0,3.17,0,4853.71,0.82,0,1.93,0,0,0.23,0.37,0.44,0.1,8.43,451.44,0,775.6,0,261.77,0,10.86,1.69,4444.67,471.64,0,1139.23,0,314.31,0,3,4985.08
B,351.94,0,526.62,0,281.8,0,1.63,0,6363.97,1.03,0.08,1.66,0,0,0.11,0.74,0.68,0,9.92,409.74,13.24,635.8,0,278.07,0,6.1,0,6328.84,394.17,0,750.9,0,283.64,0,1.45,6497.44
B,671.36,0,951.51,0,261.47,0,0,0,3265.79,2.92,0,3.64,0,0,0,2.63,1.19,0,7.03,683.94,0,903.07,0,234.23,0,0,0,3029.95,774.81,0,864.25,0,202.32,0,0,3170.42
B,1070.29,103.17,743.32,144.94,119.99,112.53,174.51,971.47,1418.87,2.73,2.03,2.11,2.31,1.94,1.67,1.66,1.27,7.52,3.65,1180.46,73.21,787.42,144.15,109.35,127.96,53,1409.49,1637.34,1202.76,101.15,829.06,168.71,102.85,100.52,112.12,2179.27
B,379,0,763.26,0,202.89,0,0,4.95,4527.66,1.66,0,2.62,0,0,0,1.26,1.02,0.17,7.66,363.05,0,804.44,0,174.11,0,0,5.39,4861.81,385.18,0,821.47,0,191.99,0.27,0,4765.87
B,903.61,0,734.6,25.33,144.85,12.85,73.66,115.72,1583.23,1.97,0,1.7,1.21,0.83,1.11,1.03,0.83,0.73,3.65,976.44,0,780.82,15.55,147.57,11.36,11.8,45.91,1927.78,955.16,0,764.2,20.79,158.59,0.69,28.51,2594.24
B,870.79,0,718.47,0,255.4,4.08,0,13.69,1420.42,1.94,0,1.48,0,0.49,0,1.16,1.12,0.71,2.75,901.09,0,751.86,0,188.45,14.9,0,4.84,1703.17,873.94,0,736.11,0,219.27,1.12,0,2300.73
B,217.7,18.28,276.15,2.45,318.3,0,0,0,7743.95,0.59,0.22,0.9,0.18,0,0,0.4,0.39,0,11.23,213.68,16.18,328.8,3.56,301.99,0,0,0,6959.55,242.55,19.86,467.86,0,339.25,0,0,7322.49
B,817.43,0.56,723.37,0,195.02,0,0,37.71,2180.71,1.44,0.04,1.37,0,0,0.31,0.67,0.74,0.43,4.38,874.14,10.92,820.25,0,197.92,0,12.07,72.04,2565.34,840.22,0,857.02,0,239.41,0,0.56,3266.38
B,698.74,0,925.53,0,124.18,0,0,0,3157.57,3.33,0,3.21,0,0,0,2.15,1.65,0,7.25,549.88,0,845.39,0,90.55,0,0,0,3063.81,625.92,0,830.31,0,106.35,0,0,3325.27
B,649.41,0,937.42,0,141.47,0,0,0,3444.72,2.45,0,2.86,0,0,0,1.72,1.3,0,7.52,668.1,0,882.35,0,97.08,0,0,0,3330.69,619.59,0,883.78,0,115.29,0,0,3690.99
B,733.38,0,1176.15,0,225.74,0,0,0,4890.16,3.55,0,3.7,0,0,0,2.6,2.12,0,9.35,651.14,0,1305.53,0,132.31,0,0,0,4037.28,710.3,0,1194.81,0,128.66,0,0,4299.67
